oid,t,lon,lat
4,1443650505,-4.485085,48.38135
3,1443650505,-4.6502185,48.09176
0,1443650505,-4.3548384,48.117912
7,1443650509,-4.4423933,48.157887
8,1443650509,-4.76818,47.98198
9,1443650511,-4.7815986,48.00045
1,1443650512,-4.4658084,48.382557
2,1443650512,-4.4965734,48.38244
10,1443650512,-4.470402,48.166374
3,1443650515,-4.6508017,48.09172
4,1443650515,-4.485083,48.38135
0,1443650518,-4.355785,48.1179
8,1443650518,-4.7680736,47.98153
9,1443650520,-4.781532,47.999985
7,1443650520,-4.4417214,48.157967
10,1443650520,-4.470425,48.166348
1,1443650522,-4.465803,48.382545
2,1443650523,-4.4965734,48.382435
3,1443650524,-4.6513367,48.091694
4,1443650525,-4.485083,48.381348
5,1443650526,-4.495445,48.38365
0,1443650528,-4.3565083,48.117924
9,1443650529,-4.781532,47.999466
8,1443650529,-4.767975,47.98097
7,1443650530,-4.441105,48.158028
10,1443650531,-4.470452,48.16633
1,1443650533,-4.4657984,48.38254
4,1443650534,-4.485083,48.38134
2,1443650534,-4.496568,48.382435
23,1443650535,-4.4766684,48.33919
3,1443650536,-4.651975,48.091652
8,1443650539,-4.7678633,47.98046
7,1443650539,-4.4405484,48.158062
10,1443650541,-4.470495,48.166294
9,1443650541,-4.781582,47.99893
2,1443650543,-4.496577,48.382435
1,1443650543,-4.4657917,48.382534
4,1443650544,-4.4850864,48.38134
3,1443650545,-4.652488,48.09157
5,1443650546,-4.495448,48.383648
7,1443650551,-4.439872,48.15806
10,1443650551,-4.470548,48.16626
9,1443650551,-4.781615,47.998367
1,1443650553,-4.4658017,48.382553
4,1443650554,-4.485085,48.38135
2,1443650555,-4.496587,48.38244
3,1443650555,-4.653138,48.0915
0,1443650558,-4.358685,48.118015
8,1443650559,-4.76765,47.979515
7,1443650559,-4.43932,48.15802
24,1443650559,-4.45237,48.384632
9,1443650561,-4.781648,47.997833
10,1443650562,-4.470617,48.166233
1,1443650562,-4.4657984,48.382553
2,1443650564,-4.496587,48.382435
4,1443650565,-4.48509,48.381363
25,1443650565,-4.45906,48.3861
3,1443650566,-4.65373,48.09146
8,1443650569,-4.767463,47.978916
7,1443650569,-4.43871,48.157948
9,1443650571,-4.7816815,47.99732
2,1443650572,-4.49658,48.382435
1,1443650572,-4.4657917,48.382545
10,1443650572,-4.4706516,48.1662
26,1443650573,-4.4857683,48.37982
3,1443650574,-4.65426,48.091434
4,1443650574,-4.485093,48.381367
8,1443650578,-4.767375,47.97852
12,1443650578,-4.4750667,48.116016
0,1443650578,-4.360155,48.117996
10,1443650580,-4.4706917,48.166187
7,1443650580,-4.438055,48.15782
9,1443650580,-4.781698,47.99685
1,1443650582,-4.46578,48.382534
2,1443650583,-4.49658,48.38243
3,1443650584,-4.654842,48.091385
4,1443650585,-4.485065,48.38135
5,1443650586,-4.495448,48.38365
6,1443650588,-4.4880433,48.377415
0,1443650588,-4.360885,48.11798
8,1443650588,-4.767225,47.978024
7,1443650589,-4.4374886,48.157654
10,1443650591,-4.4707565,48.166172
1,1443650592,-4.46577,48.38252
2,1443650592,-4.4965835,48.382427
4,1443650594,-4.4850683,48.381348
3,1443650596,-4.6554832,48.091328
0,1443650597,-4.361545,48.11798
8,1443650599,-4.767053,47.977486
9,1443650600,-4.7817483,47.995815
7,1443650600,-4.43695,48.15744
10,1443650602,-4.470855,48.166157
1,1443650602,-4.465765,48.382507
2,1443650603,-4.496585,48.382427
4,1443650605,-4.48507,48.381348
3,1443650605,-4.6560116,48.091267
0,1443650607,-4.3622785,48.117992
12,1443650608,-4.4732785,48.11626
